0.000	4.000	E:hdim7
4.000	8.000	A:7(b9)
8.000	16.000	D:min
16.000	20.000	G:min7
20.000	24.000	C:7
24.000	28.000	F:maj7
28.000	30.000	E:hdim7
30.000	32.000	A:7(b9)
32.000	36.000	D:min
36.000	40.000	G:min7
40.000	44.000	Bb:7
44.000	48.000	A:7(b9)
48.000	52.000	D:min
52.000	56.000	G:7(#11)
56.000	60.000	E:hdim7
60.000	64.000	A:7(b9)
64.000	68.000	E:hdim7
68.000	72.000	A:7(b9)
72.000	80.000	D:min
80.000	84.000	G:min7
84.000	88.000	C:7
88.000	92.000	F:maj7
92.000	94.000	E:hdim7
94.000	96.000	A:7(b9)
96.000	100.000	D:min
100.000	104.000	G:min7
104.000	108.000	Bb:7
108.000	112.000	A:7(b9)
112.000	114.000	D:min
114.000	116.000	B:7
116.000	118.000	Bb:7(#11)
118.000	120.000	A:7(b9)
120.000	128.000	D:min
